FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
420|Martinez Draw|Valley|AZ|04|Apache|001|343329N|1094711W|34.5580917|-109.7864984|342420N|1094817W|34.405595|-109.8048293|1687|5535|Manuel Seep|02/08/1980|
421|Martinez Wash|Stream|AZ|04|Maricopa|013|335955N|1124441W|33.9986406|-112.7446226|340215N|1124723W|34.0375285|-112.789624|640|2100|Wickenburg|02/08/1980|
422|Morgan Wash|Stream|AZ|04|Yuma|027|324217N|1141456W|32.7047694|-114.2488297|324537N|1141529W|32.7602778|-114.2580556|66|217|Wellton|02/08/1980|
423|Nazlini Creek|Stream|AZ|04|Apache|001|355935N|1093217W|35.9930625|-109.5381617|355928N|1091839W|35.991119|-109.3109352|1732|5682|Beautiful Valley Well|02/08/1980|
424|Peck Wash|Stream|AZ|04|Graham|009|325506N|1095002W|32.9183971|-109.8339706|330200N|1094202W|33.0333949|-109.7006362|851|2792|Pima|02/08/1980|
425|Pearce Ferry|Locale|AZ|04|Mohave|015|360700N|1140003W|36.1166529|-114.000792|||||366|1201|Meadview North|02/08/1980|
426|Point Sublime|Cape|AZ|04|Coconino|005|361154N|1121504W|36.1983139|-112.251007|||||2191|7188|Havasupai Point|06/27/1984|
427|Potter Mesa|Summit|AZ|04|Apache|001|344402N|1094353W|34.7339215|-109.731499|||||1733|5686|Potter Mesa Tank|02/08/1980|05/19/2008
428|Quilotosa Wash|Stream|AZ|04|Maricopa|013|325915N|1124533W|32.9875453|-112.7590553|324138N|1122803W|32.6938889|-112.4675|193|633|Smurr|02/08/1980|
429|Black Mesa|Summit|AZ|04|Gila|007|332846N|1102246W|33.4794988|-110.3795443|||||1251|4104|Natural Corral|02/08/1980|
430|Black Mesa|Summit|AZ|04|Mohave|015|342300N|1134003W|34.3833509|-113.6674339|||||831|2726|Signal|02/08/1980|
431|Black Mesa|Summit|AZ|04|Mohave|015|345709N|1141938W|34.9525042|-114.3271791|||||1169|3835|Warm Springs|02/08/1980|
432|Guild Wash|Stream|AZ|04|Pinal|021|323004N|1111455W|32.5011806|-111.2487167|323300N|1110209W|32.5500712|-111.0359398|606|1988|Desert Peak|02/08/1980|
433|Third Mesa|Summit|AZ|04|Navajo|017|360129N|1103355W|36.0247232|-110.5654145|||||1859|6099|Rocky Ridge SE|02/08/1980|
434|Two Hundred and Twentyeightmile Canyon|Valley|AZ|04|Mohave|015|354508N|1132424W|35.7522105|-113.406601|354307N|1132416W|35.7186|-113.4043788|398|1306|Travertine Rapids|02/08/1980|
435|San Simon River|Stream|AZ|04|Graham|009|324953N|1093857W|32.8314544|-109.649245|320000N|1090127W|32.0000893|-109.0242268|897|2943|Safford|02/08/1980|
436|Sandoval Draw|Valley|AZ|04|Apache|001|343830N|1094815W|34.6417011|-109.8042773|342933N|1095129W|34.4925374|-109.858166|1626|5335|Little Milky Wash|02/08/1980|
437|Seba Dalkai School|School|AZ|04|Navajo|017|352959N|1102653W|35.4997321|-110.4481875|||||1710|5610|Shonto Butte|02/08/1980|
438|Skunk Camp Wash|Stream|AZ|04|Gila|007|331004N|1105307W|33.1678387|-110.8853883|331342N|1105050W|33.2283926|-110.8473324|931|3054|Hot Tamale Peak|02/08/1980|
439|Skunk Canyon|Valley|AZ|04|Yavapai|025|342753N|1131345W|34.4647425|-113.2290856|343313N|1131430W|34.5536305|-113.2415869|783|2569|Thorn Peak|02/08/1980|
440|South Side Canal|Canal|AZ|04|Pinal|021|325832N|1113639W|32.9756154|-111.6109603|||||423|1388|Coolidge|02/08/1980|
441|Standing Redrock Creek|Stream|AZ|04|Apache|001|363630N|1090352W|36.608334|-109.0645421|362902N|1091000W|36.4838901|-109.1667664|1748|5735|Red Valley|02/08/1980|
442|Stone Cabin Wash|Stream|AZ|04|Gila|007|331036N|1105356W|33.1767273|-110.899|331353N|1105205W|33.2314481|-110.8681664|953|3127|Hot Tamale Peak|02/08/1980|
443|Seven Springs Wash|Stream|AZ|04|Apache|001|344229N|1094016W|34.7080882|-109.6712203|344641N|1093026W|34.7780862|-109.5073292|1662|5453|Potter Mesa Tank|02/08/1980|
444|Yucca Mine|Mine|AZ|04|Mohave|015|343909N|1142231W|34.6525089|-114.3752352|||||451|1480|Topock|02/08/1980|05/01/2006
445|Tenmile Wash|Stream|AZ|04|Yuma|027|325213N|1132836W|32.8703249|-113.4765811|322624N|1123733W|32.44|-112.6258333|121|397|Aztec Hills|02/08/1980|
446|Texas Hill Canal|Canal|AZ|04|Yuma|027|325019N|1134302W|32.8386568|-113.7171458|||||102|335|Texas Hill|02/08/1980|
447|Tule Wells Canyon|Valley|AZ|04|Cochise|003|322520N|1091422W|32.4222976|-109.2395049|322503N|1090644W|32.4175771|-109.1122811|1177|3862|Orange Butte|02/08/1980|
448|Tule Wells Draw|Valley|AZ|04|Graham|009|322550N|1091923W|32.4306301|-109.3231179|322520N|1091422W|32.4222976|-109.2395049|1061|3481|Martin Well|02/08/1980|
449|Twin Spring Canyon|Valley|AZ|04|Mohave|015|355847N|1133336W|35.979709|-113.5599391|360555N|1133615W|36.0985961|-113.6041079|871|2858|Amos Point|02/08/1980|
450|Uinkaret Plateau|Plain|AZ|04|Mohave|015|362830N|1130632W|36.4749817|-113.1088231|||||1846|6056|Mount Trumbull NE|02/08/1980|
451|United States Geological Survey Magnetic Observatory|Locale|AZ|04|Pima|019|321449N|1105012W|32.2470201|-110.8367535|||||776|2546|Tucson East|02/08/1980|
452|Valley View Canyon|Valley|AZ|04|Navajo|017|340657N|1103023W|34.1158788|-110.5065047|340931N|1102926W|34.1586555|-110.4906727|1609|5279|Spotted Mountain|02/08/1980|
453|Walthenberg Canyon|Valley|AZ|04|Coconino|005|361421N|1122423W|36.2391472|-112.406291|361739N|1122234W|36.2941476|-112.3760125|661|2169|Explorers Monument|02/08/1980|03/22/2011
454|Warm Springs Canyon|Valley|AZ|04|Mohave|015|345245N|1141903W|34.8791721|-114.3174565|350018N|1142053W|35.0050033|-114.3480131|559|1834|Warm Springs|02/08/1980|
455|Warm Springs Wash|Stream|AZ|04|Mohave|015|344500N|1142902W|34.7500066|-114.4838503|345404N|1141852W|34.9011162|-114.3144008|148|486|Warm Springs SW|02/08/1980|
456|Wellton Mohawk Canal|Canal|AZ|04|Yuma|027|324501N|1142113W|32.7503237|-114.3535553|||||55|180|Dome|02/08/1980|
457|A Ninetysix Spring|Spring|AZ|04|Gila|007|335622N|1101822W|33.9394555|-110.3061979|||||1548|5079|Carrizo|02/08/1980|04/18/2011
458|A Canal|Canal|AZ|04|Yuma|027|323707N|1143426W|32.6186614|-114.5738395|||||62|203|Yuma SE|02/08/1980|
459|A D Wash|Stream|AZ|04|Yavapai|025|335901N|1122257W|33.9836439|-112.3823902|335859N|1122943W|33.9830556|-112.4952778|671|2201|Garfias Mountain|02/08/1980|
460|A K Ranch|Locale|AZ|04|Maricopa|013|325237N|1121503W|32.8769938|-112.2507006|||||505|1657|Conley Well|02/08/1980|
461|A-Diamond Ranch|Locale|AZ|04|Pinal|021|330603N|1110049W|33.1008959|-111.0137246|||||529|1736|Grayback|02/08/1980|
462|A-one Basin|Basin|AZ|04|Yuma|027|322041N|1134813W|32.3447794|-113.8035376|||||373|1224|Cabeza Prieta Peak|02/08/1980|
463|A-eighty Tank|Reservoir|AZ|04|Navajo|017|334909N|1095522W|33.8192993|-109.9228975|||||1702|5584|Whiteriver|02/08/1980|06/15/2011
464|A-eightyone Tank|Reservoir|AZ|04|Gila|007|335416N|1100257W|33.9044021|-110.0492807|||||1922|6306|Round Top Mountain|02/08/1980|06/15/2011
465|A-ninetyone Spring|Spring|AZ|04|Navajo|017|335244N|1095503W|33.8789379|-109.9176|||||1691|5548|Alchesay Flat|02/08/1980|
466|Aasayii Wash|Valley|AZ|04|Navajo|017|363449N|1100327W|36.5802779|-110.057622|363321N|1101222W|36.5558325|-110.2062405|1701|5581|Chilchinbito|02/08/1980|
467|Abbot Canyon|Valley|AZ|04|Cochise|003|313300N|1095218W|31.5500964|-109.8717408|313116N|1095627W|31.5212081|-109.9409091|1437|4715|Gleeson SE|02/08/1980|
468|Abbot Windmill|Locale|AZ|04|Cochise|003|313202N|1095331W|31.5339856|-109.8920191|||||1511|4957|Potter Mountain|02/08/1980|
469|Abdoul Canyon|Valley|AZ|04|Gila|007|334800N|1102025W|33.8000504|-110.3403824|335111N|1101958W|33.8530556|-110.3327778|1242|4075|Carrizo SE|02/08/1980|
470|Abe Lincoln Mine|Mine|AZ|04|Yavapai|025|340244N|1123232W|34.0455864|-112.5421178|||||1192|3911|Morgan Butte|02/08/1980|
471|Adobe Creek|Stream|AZ|04|Mohave|015|345011N|1132136W|34.8364028|-113.3599276|345652N|1131631W|34.9477909|-113.275203|1262|4140|Pilot Knob|02/08/1980|
472|Abrigo Canyon|Valley|AZ|04|Cochise|003|312458N|1095833W|31.4162111|-109.9759089|312630N|1095719W|31.4416667|-109.9552778|1560|5118|Bisbee|02/08/1980|
473|Abril Mine|Mine|AZ|04|Cochise|003|315429N|1095929W|31.9081404|-109.9914592|||||2031|6663|Cochise Stronghold|02/08/1980|
474|Acorn Tank|Reservoir|AZ|04|Gila|007|333610N|1100205W|33.6026464|-110.0348056|||||1729|5673|Georges Butte|02/08/1980|08/10/2014
475|Acorn Well|Well|AZ|04|Graham|009|330753N|1101608W|33.1314473|-110.26898|||||1149|3770|Dewey Flat|02/08/1980|
476|Acuna Well|Well|AZ|04|Pima|019|320331N|1125624W|32.0586737|-112.9398836|||||458|1503|Kino Peak|02/08/1980|
477|Adadka Spring|Spring|AZ|04|Navajo|017|364133N|1103750W|36.692425|-110.6304392|||||2037|6683|Shonto NW|02/08/1980|04/18/2011
478|Adahchijiyahi Canyon|Valley|AZ|04|Navajo|017|365043N|1102101W|36.8452768|-110.3504116|364909N|1102423W|36.8191653|-110.4065239|1647|5403|Segihatsosi Canyon|02/08/1980|
479|Adamana|Populated Place|AZ|04|Apache|001|345836N|1094920W|34.9766921|-109.8223383|||||1617|5305|Adamana|02/08/1980|
480|Adams Butte|Summit|AZ|04|Navajo|017|354310N|1101853W|35.7194515|-110.3148511|||||1871|6138|Star Mountain|02/08/1980|
481|Adams Canyon|Valley|AZ|04|Cochise|003|321807N|1093626W|32.3020197|-109.6072879|321702N|1093648W|32.2838889|-109.6133333|1315|4314|Luzena|02/08/1980|
482|Adams Flat|Flat|AZ|04|Graham|009|323920N|1094756W|32.6556235|-109.7989666|||||1654|5426|Mount Graham|02/08/1980|
483|Adams Mine|Mine|AZ|04|Mohave|015|345808N|1142335W|34.9688924|-114.3930143|||||659|2162|Boundary Cone|02/08/1980|
484|Adams Peak|Summit|AZ|04|Cochise|003|320201N|1100657W|32.0336922|-110.1159029|||||1774|5820|Dragoon|02/08/1980|
485|Adams Ranch|Locale|AZ|04|Cochise|003|320109N|1100628W|32.0192483|-110.107847|||||1382|4534|Dragoon|02/08/1980|
486|Adams Ranch|Locale|AZ|04|Cochise|003|320448N|1100446W|32.0800794|-110.0795139|||||1515|4970|Dragoon|02/08/1980|
487|Adams School|School|AZ|04|Maricopa|013|332659N|1120502W|33.4497659|-112.0837599|||||330|1083|Phoenix|02/08/1980|
488|Adams Well|Well|AZ|04|Pima|019|315411N|1123202W|31.9031282|-112.5337542|||||574|1883|Pia Oik|02/08/1980|
489|Adams Well|Well|AZ|04|Yuma|027|330243N|1140445W|33.0453173|-114.0791033|||||600|1968|Slumgullion Pass|02/08/1980|
490|Additional Hill|Summit|AZ|04|Coconino|005|354448N|1113857W|35.7466649|-111.6490393|||||1906|6253|Additional Hill|02/08/1980|
491|Adeii Eechii Cliffs|Cliff|AZ|04|Coconino|005|354737N|1110625W|35.7936099|-111.106808|||||1629|5344|Gold Spring|02/08/1980|
492|Adobe|Populated Place|AZ|04|Maricopa|013|334121N|1120722W|33.6892053|-112.1226529|||||425|1394|Union Hills|02/08/1980|
493|Adobe Canyon|Valley|AZ|04|Cochise|003|322009N|1100100W|32.3358333|-110.0166667|321851N|1100113W|32.3141667|-110.0202778|1423|4669|Muskhog Mountain|02/08/1980|03/05/2009
494|Adobe Flats|Flat|AZ|04|La Paz|012|333609N|1132448W|33.6025342|-113.4132539|||||436|1430|Lone Mountain|02/08/1980|
495|Adobe Lake|Lake|AZ|04|La Paz|012|330236N|1143926W|33.0434628|-114.6571363|||||59|194|Picacho SW|02/08/1980|06/15/2011
496|Adobe Mountain|Summit|AZ|04|Maricopa|013|334143N|1120713W|33.6953164|-112.1201529|||||517|1696|Union Hills|02/08/1980|
497|Adobe Tank|Reservoir|AZ|04|Cochise|003|322029N|1100041W|32.3413889|-110.0113889|||||1397|4583|Muskhog Mountain|02/08/1980|03/05/2009
498|Adobe Windmill|Locale|AZ|04|Pima|019|321617N|1125755W|32.2714479|-112.9651587|||||499|1637|Chico Shunie|02/08/1980|
499|Agate Bridge|Arch|AZ|04|Apache|001|345332N|1094737W|34.8922502|-109.7937252|||||1702|5584|Adamana|02/08/1980|
500|Agate Canyon|Valley|AZ|04|Coconino|005|360832N|1121654W|36.1422036|-112.2815632|360702N|1121750W|36.117204|-112.2971191|807|2648|Havasupai Point|02/08/1980|
